Sources: Bloomberg and CBOE.,SP500 total return,12/31/1986 234.75
30-Jan-87,266.37,0.054872129
27-Feb-87,276.89,0.016830347
31-Mar-87,284.88,0.012353295
30-Apr-87,282.35,-0.003873315
29-May-87,284.8,0.003748983
30-Jun-87,299.18,0.021395985
31-Jul-87,314.34,0.021461328
31-Aug-87,326.06,0.01590961
30-Sep-87,318.92,-0.009626677
30-Oct-87,250.23,-0.105330745
30-Nov-87,229.61,-0.037351302
31-Dec-87,247.08,0.031842415
29-Jan-88,257.47,0.01789332
29-Feb-88,269.47,0.019786932
31-Mar-88,261.15,-0.013627788
29-Apr-88,264.04,0.004776559
31-May-88,266.32,0.003740672
30-Jun-88,278.544,0.019486458
29-Jul-88,277.487,-0.001651166
31-Aug-88,268.067,-0.014999288
30-Sep-88,279.488,0.018119812
31-Oct-88,287.27,0.011927108
30-Nov-88,283.176,-0.006233832
30-Dec-88,288.116,0.007510934
31-Jan-89,309.214,0.030691772
28-Feb-89,301.508,-0.010960309
31-Mar-89,308.542,0.01001545
28-Apr-89,324.562,0.021983381
31-May-89,337.693,0.017224387
30-Jun-89,335.778,-0.00246982
31-Jul-89,366.095,0.037541559
31-Aug-89,373.252,0.008408346
29-Sep-89,371.738,-0.001765185
31-Oct-89,363.106,-0.010203533
30-Nov-89,370.511,0.008767681
29-Dec-89,379.409,0.010306522
31-Jan-90,353.937,-0.030181663
28-Feb-90,358.496,0.005558349
30-Mar-90,367.995,0.011357604
30-Apr-90,358.815,-0.010971328
31-May-90,393.801,0.040406225
29-Jun-90,391.144,-0.002940142
31-Jul-90,389.89,-0.001394576
31-Aug-90,354.648,-0.041144581
28-Sep-90,337.388,-0.021667883
31-Oct-90,335.952,-0.001852401
30-Nov-90,357.668,0.027202855
31-Dec-90,367.631,0.011932039
31-Jan-91,383.642,0.018514021
28-Feb-91,411.078,0.029998089
29-Mar-91,421.032,0.01039087
30-Apr-91,422.029,0.00102719
31-May-91,440.236,0.018343259
28-Jun-91,420.067,-0.020366989
31-Jul-91,439.646,0.019784561
30-Aug-91,450.062,0.01016922
30-Sep-91,442.53,-0.007329628
31-Oct-91,448.48,0.005800363
29-Nov-91,430.409,-0.017861736
31-Dec-91,479.633,0.047027712
31-Jan-92,470.695,-0.008169471
28-Feb-92,476.791,0.005588464
31-Mar-92,467.518,-0.008529713
30-Apr-92,481.245,0.012567894
29-May-92,483.604,0.002123654
30-Jun-92,476.409,-0.006509927
31-Jul-92,495.872,0.017389629
31-Aug-92,485.723,-0.008980917
30-Sep-92,491.431,0.00507388
30-Oct-92,493.129,0.001497995
30-Nov-92,509.92,0.014541503
31-Dec-92,516.178,0.005297444
29-Jan-93,520.494,0.003616237
26-Feb-93,527.587,0.005878358
31-Mar-93,538.719,0.009068207
30-Apr-93,525.698,-0.010625968
31-May-93,539.76,0.011464372
30-Jun-93,541.341,0.001270224
30-Jul-93,539.164,-0.001750034
31-Aug-93,559.621,0.016173117
30-Sep-93,555.33,-0.003342868
29-Oct-93,566.817,0.008891732
30-Nov-93,561.414,-0.004159629
31-Dec-93,568.202,0.00521952
31-Jan-94,587.519,0.014519158
28-Feb-94,571.573,-0.011950211
31-Mar-94,546.654,-0.019359175
29-Apr-94,553.664,0.005533756
31-May-94,562.75,0.007069218
30-Jun-94,548.956,-0.010777967
29-Jul-94,566.982,0.014031735
31-Aug-94,590.228,0.017450537
30-Sep-94,575.795,-0.010751919
31-Oct-94,588.731,0.009649015
30-Nov-94,567.29,-0.016111776
30-Dec-94,575.705,0.006394873
31-Jan-95,590.635,0.011119178
28-Feb-95,613.653,0.016603683
31-Mar-95,631.76,0.012629263
28-Apr-95,650.364,0.012604368
31-May-95,676.357,0.017019496
30-Jun-95,692.067,0.009972152
31-Jul-95,715.018,0.014168834
31-Aug-95,716.815,0.00109011
29-Sep-95,747.066,0.017951887
31-Oct-95,744.396,-0.001554941
30-Nov-95,777.074,0.018658347
29-Dec-95,792.042,0.008285834
31-Jan-96,819,0.01453569
29-Feb-96,826.593,0.004007821
29-Mar-96,834.55,0.004160638
